a,冠詞,一個,Can I have a piece of cake?
able,形容詞,有能力的；能夠,I am able to swim.
accept,動詞,接受；同意；批准,She accepted the job offer.
accident,名詞,事故；意外；災難,He was in a car accident.
across,介系詞/副詞,橫過；穿過；在...對面,We walked across the bridge.
act,動詞/名詞,行動；表現；扮演,She acted in a movie.
address,名詞/動詞,地址；演講；處理,What's your address?
adult,名詞/形容詞,成年人；成年的,He's an adult now.
afraid,形容詞,害怕的；擔心的,I'm afraid of spiders.
after,介系詞/副詞,在...之後；後來；之後,We went to the park after lunch.
afternoon,名詞,下午；午後,I have a meeting in the afternoon.
again,副詞,再次；又一次；重新,Can you say that again?
against,介系詞,反對；對著；靠著,He's against the idea of going hiking.
age,名詞,年齡；時代；歲數,What's your age?
ago,副詞,以前；之前,I saw that movie a long time ago.
agree,動詞,同意；贊成；一致,We all agree with your plan.
air,名詞,空氣,I need fresh air.
airport,名詞,機場,We're going to the airport to catch our flight.
all,代名詞/副詞,全部的；所有的,All the students passed the exam.
almost,副詞,幾乎；差不多,I'm almost finished with my work.
alone,形容詞/副詞,獨自的；單獨地；孤單地,I like to be alone sometimes.
already,副詞,已經,I've already seen that movie.
also,副詞,也；同樣地,She's smart and also very funny.
always,副詞,總是；始終,He always arrives early for meetings.
always,副詞,總是；始終,He always arrives early for meetings.
am,動詞,是；在；有,I am a student.
and,連接詞,和；與；以及,She likes pizza and pasta.
angry,形容詞,生氣的；憤怒的,Don't make him angry.
animal,名詞,動物,We saw many animals at the zoo.
another,代名詞/形容詞,另外的；又一個,Can I have another piece of cake?
answer,名詞/動詞,答案；回答，回答；回覆,What's the answer to this question?
any,代名詞/副詞,任何的；一些；有一些,Do you have any questions?
anyone,代名詞,任何人，有人；沒有人,Anyone can learn to play the guitar.
anything,代名詞,任何事物，什麼都可以,Do you need anything else?
appear,動詞,出現，似乎,The sun appeared from behind the clouds.
apple,名詞,蘋果,I like to eat apples.
are,動詞,是，是...的，存在,We are going to the movies tonight.
arrive,動詞,到達，抵達,What time does your flight arrive?
art,名詞,藝術，美術,She's studying art at university.
as,連接詞/副詞,像...一樣，由於；當作,He's as tall as his father.
ask,動詞,問，請求,Can I ask you a question?
at,介系詞,在...，在...的時候,We're meeting at the park at noon.
away,副詞,離開；遠離,We're going away for the weekend.
baby,名詞,嬰兒，孩子,My sister just had a baby.
back,名詞/副詞,背部；後面；向後,I hurt my back playing soccer.
bad,形容詞,不好的；糟糕的,That's a bad idea.
